MOP	language	text	length	rating_list	mean_rating	bigram_total_logprob	bigram_avg_logprob	bigram_SLOR	trigram_total_logprob	trigram_avg_logprob	trigram_SLOR
MOP2	en	We've still got the Dower House , and Lincolnshire is lovely in May . ’	12	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-42.7036	-2.846906666666667	-3.3734000000000037	-41.9851	-2.7990066666666666	-2.654900000000005
MOP2	en	My first real friend was probably a boy called Adam .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-29.3029	-2.6639	1.6778999999999975	-29.2242	-2.6567454545454545	1.7565999999999988
MOP2	en	She was wearing denim overalls and carrying a bucket and brush .	11	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-29.2086	-2.43405	6.668600000000001	-29.0308	-2.419233333333333	6.846400000000003
MOP2	en	In the next year he had custody of Rochester Castle .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4	3.8125	-24.3267	-2.2115181818181817	5.433300000000003	-24.2124	-2.201127272727273	5.547600000000003
MOP2	en	BOOKING is essential for a cycle ride around Wirral Country Park on Sunday when the leader will be Cheshire ranger Barry Jackson .	22	4, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 1	3.07692307692	-42.309	-1.8395217391304346	7.399700000000003	-42.5427	-1.8496826086956524	7.165999999999997
MOP2	en	This expression is called the fundamental theorem of Riemannian geometry .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-28.6246	-2.6022363636363637	3.4052000000000007	-28.3126	-2.573872727272727	3.717200000000002
MOP2	en	Greg Hocking was one of those rare people who drift into teaching and find themselves , to their own surprise , absolutely cut out for the job .	25	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-68.3424	-2.4408	14.1922	-65.7129	-2.346889285714286	16.821699999999993
MOP2	en	On appointment to office a new minister will take over responsibility for many departmental policies .	15	1, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4	3.4	-47.256	-2.9535	6.0608	-47.7959	-2.98724375	5.5208999999999975
MOP2	en	When Rhun in his kindness lent an arm to raise him from his knees , he hung heavily still , clinging to his desperate humility .	23	4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4	3.75	-71.0837	-2.7339884615384613	8.886900000000011	-70.3623	-2.7062423076923077	9.6083
MOP2	en	Figure shows how the A-measure per unit area varies with radiometer reading .	12	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4	3.75	-32.5471	-2.503623076923077	5.392099999999999	-32.2899	-2.4838384615384617	5.649299999999997
MOP2	en	In some pubs fake hand pumps serve gassy beer .	9	1, 4, 4, 4, 4, 4, 4, 4, 1, 4, 1, 4, 1, 4, 1, 4	3.0625	-35.3627	-3.5362699999999996	0.8123000000000005	-35.1914	-3.51914	0.9835999999999956
MOP2	en	Preliminary work began last September following the appointment of two countryside officers who are employed full time on the project .	20	4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4	3.78571428571	-60.5561	-2.8836238095238094	5.200299999999999	-60.9528	-2.902514285714286	4.803599999999996
MOP2	en	This is , of course , only a tendency , and the move away from local policemen to larger , centralised policing may reduce this effect .	22	4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4	3.4375	-59.7476	-2.212874074074074	7.480300000000007	-56.2665	-2.0839444444444446	10.961400000000005
MOP2	en	Tod features another kind of dream in which he is a woman .	12	4, 1, 1, 4, 1, 4, 4, 4, 4, 4, 1, 4	3.0	-26.5262	-2.040476923076923	7.2696000000000005	-25.7646	-1.9818923076923078	8.031199999999998
MOP2	en	Valuable coaching can often come from drama school tutors who can give a fair assessment of the possibilities you may have prior to auditioning .	24	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-63.8861	-2.555444	10.912400000000005	-64.4801	-2.579204	10.318400000000011
MOP2	en	Because simulated annealing is a stochastic algorithm , different runs of probeorder will not necessarily produce the same output probe order .	20	1, 1, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 1, 1	2.5	-64.9147	-2.9506681818181817	4.616100000000003	-65.4755	-2.976159090909091	4.055300000000003
MOP2	en	Although the music was animated , only the arms moved .	9	4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 1	3.35714285714	-30.6809	-2.7891727272727276	1.7654999999999959	-30.5712	-2.7792	1.875199999999996
MOP2	en	But the report also blasts authority bosses for failing to control the activities of 58-year-old Mr Watney , who took early retirement last year .	23	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1	3.6	-64.6771	-2.587084	6.51870000000001	-63.6916	-2.547664	7.504200000000004
MOP2	en	Some would of course reply personally ( he had included postage ) .	10	4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.8125	-33.2375	-2.556730769230769	3.1464	-34.0479	-2.6190692307692305	2.3359999999999985
MOP2	en	Police are appealing for witnesses to the incident , which happened at 11am on Monday in Windsor Street , Toxteth .	18	4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4	3.72727272727	-46.3842	-2.2087714285714286	1.9067000000000007	-46.2694	-2.2033047619047617	2.021500000000003
MOP2	en	The surface need not be perfectly flat or smooth .	9	4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4	3.8	-28.7596	-2.87596	3.1773000000000025	-27.9431	-2.7943100000000003	3.9938000000000002
MOP2	en	There are 5,733 empty council houses , almost 2,000 of which have been empty for more than a year .	18	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-47.7858	-2.38929	10.688600000000001	-47.429	-2.3714500000000003	11.0454
MOP2	en	Heath ( 3.3 ) sums up one influential and long-established tradition in the study of class differences in education .	17	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-56.6502	-2.83251	5.573500000000003	-55.5757	-2.778785	6.648000000000003
MOP2	en	And his price — his price can be of enormous use .	10	1, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 4	3.2	-30.8625	-2.571875	0.5950999999999986	-30.8327	-2.5693916666666667	0.6249000000000002
