MOP	language	text	length	rating_list	mean_rating	bigram_total_logprob	bigram_avg_logprob	bigram_SLOR	trigram_total_logprob	trigram_avg_logprob	trigram_SLOR	gpt2_total_logprob	gpt2_avg_logprob	gpt2_SLOR
MOP2	en	We've still got the Dower House , and Lincolnshire is lovely in May . ’	12	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-42.7036	-2.846906666666667	-3.3734000000000037	-41.9851	-2.799006666666666	-2.654900000000005	-48.405456108879626	-3.2270304072586415	-9.075256108879628
MOP2	en	My first real friend was probably a boy called Adam .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-29.3029	-2.6639	1.6778999999999975	-29.2242	-2.6567454545454545	1.7565999999999988	-21.10043867706127	-1.918221697914661	9.880361322938729
MOP2	en	She was wearing denim overalls and carrying a bucket and brush .	11	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-29.2086	-2.43405	6.668600000000001	-29.0308	-2.419233333333333	6.846400000000003	-27.469141926137162	-2.28909516051143	8.40805807386284
MOP2	en	In the next year he had custody of Rochester Castle .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4	3.8125	-24.3267	-2.2115181818181817	5.433300000000003	-24.2124	-2.201127272727273	5.547600000000003	-26.416523815074395	-2.401502165006763	3.3434761849256063
MOP2	en	BOOKING is essential for a cycle ride around Wirral Country Park on Sunday when the leader will be Cheshire ranger Barry Jackson .	22	4, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 1	3.07692307692	-42.309	-1.8395217391304344	7.399700000000003	-42.5427	-1.8496826086956524	7.165999999999997	-64.97475690633175	-2.824989430710076	-15.266056906331748
MOP2	en	This expression is called the fundamental theorem of Riemannian geometry .	10	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-28.6246	-2.6022363636363637	3.4052000000000007	-28.3126	-2.573872727272727	3.717200000000002	-23.662595167017496	-2.151145015183409	8.367204832982505
MOP2	en	Greg Hocking was one of those rare people who drift into teaching and find themselves , to their own surprise , absolutely cut out for the job .	25	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-68.3424	-2.4408	14.1922	-65.7129	-2.346889285714286	16.821699999999993	-57.11000911592915	-2.0396431827117554	25.424590884070845
MOP2	en	On appointment to office a new minister will take over responsibility for many departmental policies .	15	1, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4	3.4	-47.256	-2.9535	6.0608	-47.7959	-2.98724375	5.5208999999999975	-33.24083460275545	-2.0775521626722155	20.075965397244552
MOP2	en	When Rhun in his kindness lent an arm to raise him from his knees , he hung heavily still , clinging to his desperate humility .	23	4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4	3.75	-71.0837	-2.7339884615384613	8.886900000000011	-70.3623	-2.7062423076923077	9.6083	-63.42047369929927	-2.4392489884345876	16.550126300700732
MOP2	en	Figure shows how the A-measure per unit area varies with radiometer reading .	12	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4	3.75	-32.5471	-2.503623076923077	5.392099999999999	-32.2899	-2.4838384615384617	5.649299999999997	-38.42244917632044	-2.955573013563111	-0.4832491763204416
MOP2	en	In some pubs fake hand pumps serve gassy beer .	9	1, 4, 4, 4, 4, 4, 4, 4, 1, 4, 1, 4, 1, 4, 1, 4	3.0625	-35.3627	-3.5362699999999996	0.8123000000000005	-35.1914	-3.51914	0.9835999999999956	-37.60277723748318	-3.760277723748318	-1.427777237483184
MOP2	en	Preliminary work began last September following the appointment of two countryside officers who are employed full time on the project .	20	4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4	3.78571428571	-60.5561	-2.88362380952381	5.200299999999999	-60.9528	-2.902514285714286	4.803599999999996	-46.00399204801823	-2.1906662880008683	19.752407951981766
MOP2	en	This is , of course , only a tendency , and the move away from local policemen to larger , centralised policing may reduce this effect .	22	4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4	3.4375	-59.7476	-2.212874074074074	7.480300000000007	-56.2665	-2.0839444444444446	10.961400000000005	-58.87613977430293	-2.180597769418627	8.351760225697078
MOP2	en	Tod features another kind of dream in which he is a woman .	12	4, 1, 1, 4, 1, 4, 4, 4, 4, 4, 1, 4	3.0	-26.5262	-2.040476923076923	7.2696	-25.7646	-1.981892307692308	8.031199999999998	-33.052381439969125	-2.542490879997625	0.7434185600308751
MOP2	en	Valuable coaching can often come from drama school tutors who can give a fair assessment of the possibilities you may have prior to auditioning .	24	4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4	4.0	-63.8861	-2.555444	10.912400000000003	-64.4801	-2.579204	10.318400000000011	-58.255664296368764	-2.3302265718547504	16.54283570363124
MOP2	en	Because simulated annealing is a stochastic algorithm , different runs of probeorder will not necessarily produce the same output probe order .	20	1, 1, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 1, 1	2.5	-64.9147	-2.9506681818181817	4.616100000000003	-65.4755	-2.976159090909091	4.055300000000003	-57.5870821278177	-2.617594642173532	11.943717872182297
